feature,group,definition,computation,interpretation
phase_build_up_duration_sum,phase_duration,Total player-possession duration during build-up phases.,Sum duration for player_possession events where team_in_possession_phase_type is build_up.,Higher value suggests more time spent in controlled buildup from deeper areas.
phase_create_duration_sum,phase_duration,Total player-possession duration during create phases.,Sum duration where phase type is create.,Higher value suggests more time spent constructing attacks in advanced attacking structure.
phase_finish_duration_sum,phase_duration,Total player-possession duration during finish phases.,Sum duration where phase type is finish.,Higher value suggests more time spent close to goal or in final attacking actions.
phase_quick_break_duration_sum,phase_duration,Total player-possession duration during quick-break phases.,Sum duration where phase type is quick_break.,Higher value suggests more counter-attacking or fast-break activity.
phase_transition_duration_sum,phase_duration,Total player-possession duration during transition phases.,Sum duration where phase type is transition.,Higher value suggests more attacking activity immediately around changes of possession.
phase_direct_duration_sum,phase_duration,Total player-possession duration during direct-play phases.,Sum duration where phase type is direct.,"Higher value suggests faster, more vertical attacking phases."
phase_set_play_duration_sum,phase_duration,Total player-possession duration during set-play phases.,Sum duration where phase type is set_play.,Higher value suggests greater dead-ball attacking activity.
phase_chaotic_duration_sum,phase_duration,Total player-possession duration during chaotic phases.,Sum duration where phase type is chaotic.,Higher value suggests more broken-play or unstable possession situations.
pass_to_attacking_third_count,final_third_passing,Count of passes received or targeted in the attacking third.,Count player_possession events ending with pass and target/reception third equal to attacking_third.,Higher value suggests stronger ball progression into advanced territory.
forward_pass_to_attacking_third_count,final_third_passing,Count of forward passes into the attacking third.,Count attacking-third passes where pass_direction is forward.,Higher value suggests vertical progression through passes.
long_pass_to_attacking_third_count,final_third_passing,Count of long passes into the attacking third.,Count attacking-third passes where pass_range is long.,Higher value suggests direct long-ball progression into advanced zones.
central_pass_to_attacking_third_count,final_third_passing,Count of passes into central or half-space attacking-third areas.,Count attacking-third passes ending in center or half-space channels.,Higher value suggests central or half-space penetration.
wide_pass_to_attacking_third_count,final_third_passing,Count of passes into wide attacking-third areas.,Count attacking-third passes ending in wide_left or wide_right channels.,Higher value suggests flank-oriented progression.
seg_0_15_att_third_possession_count,territorial_segments,Attacking-third possession actions during minutes 0 to 15.,"Count player_possession events ending in attacking_third with minute_start in [0,15).",Shows early territorial occupation.
seg_15_30_att_third_possession_count,territorial_segments,Attacking-third possession actions during minutes 15 to 30.,"Count player_possession events ending in attacking_third with minute_start in [15,30).",Shows territorial occupation in the second match segment.
seg_30_45_att_third_possession_count,territorial_segments,Attacking-third possession actions during minutes 30 to 45.,"Count player_possession events ending in attacking_third with minute_start in [30,45).",Shows territorial occupation late in the first half.
seg_45_60_att_third_possession_count,territorial_segments,Attacking-third possession actions during minutes 45 to 60.,"Count player_possession events ending in attacking_third with minute_start in [45,60).",Shows territorial occupation after halftime.
seg_60_75_att_third_possession_count,territorial_segments,Attacking-third possession actions during minutes 60 to 75.,"Count player_possession events ending in attacking_third with minute_start in [60,75).",Shows territorial occupation in the middle of the second half.
seg_75_120_att_third_possession_count,territorial_segments,Attacking-third possession actions from minute 75 onward.,"Count player_possession events ending in attacking_third with minute_start in [75,120).","Shows late pressure, chase-state pressure, or closing territorial control."
one_touch_possession_count,speed_of_play,Count of one-touch player possessions.,Count player_possession events where one_touch is true.,Higher value suggests faster circulation and quick ball release.
quick_pass_possession_count,speed_of_play,Count of quick-pass player possessions.,Count player_possession events where quick_pass is true.,Higher value suggests faster passing tempo.
carry_possession_count,speed_of_play,Count of carry player possessions.,Count player_possession events where carry is true.,Higher value suggests more ball-carrying and dribble-like progression.
forward_momentum_possession_count,speed_of_play,Count of possessions with forward momentum.,Count player_possession events where forward_momentum is true.,Higher value suggests more forward-oriented attacking motion.
hsr_possession_count,speed_of_play,Count of high-speed-running player possessions.,Count player_possession events where speed_avg_band is hsr.,Higher value suggests more high-tempo ball-carrying or receiving actions.
sprinting_possession_count,speed_of_play,Count of sprinting player possessions.,Count player_possession events where speed_avg_band is sprinting.,Higher value suggests very fast attacking actions.
high_speed_duration_sum,speed_of_play,Total duration of high-speed or sprinting possessions.,Sum duration for player_possession events where speed_avg_band is hsr or sprinting.,Higher value suggests sustained fast play with the ball.
build_up_forward_possession_count,build_up_progression,Count of build-up possessions that move forward.,Count build_up player_possession events where x_end minus x_start is positive.,Higher value suggests build-up that advances the ball rather than only recycling.
build_up_forward_distance_sum,build_up_progression,Total forward distance gained during build-up.,Sum positive x_end - x_start for build_up player_possession events.,Higher value suggests stronger progressive buildup.
build_up_pass_end_count,build_up_progression,Count of build-up possessions ending with a pass.,Count build_up player_possession events where end_type is pass.,Higher value suggests more passing circulation in buildup.
build_up_to_create_count,build_up_progression,Count of build-up actions that lead to create phase.,Count build_up player_possession events where lead_to_different_phase is true and next phase is create.,Higher value suggests successful progression from buildup into chance-creation structure.
build_up_to_finish_count,build_up_progression,Count of build-up actions that lead to finish phase.,Count build_up player_possession events where lead_to_different_phase is true and next phase is finish.,Higher value suggests direct progression from buildup into finishing situations.
pressing_count,pressure_disruption,Count of pressing engagements.,Count on_ball_engagement events where event_subtype is pressing.,Higher value suggests more aggressive direct pressure.
pressure_count,pressure_disruption,Count of pressure engagements.,Count on_ball_engagement events where event_subtype is pressure.,Higher value suggests frequent pressure without necessarily pressing as strongly.
counter_press_count,pressure_disruption,Count of counter-press engagements.,Count on_ball_engagement events where event_subtype is counter_press.,Higher value suggests attempts to pressure immediately after losing possession.
recovery_press_count,pressure_disruption,Count of recovery-press engagements.,Count on_ball_engagement events where event_subtype is recovery_press.,Higher value suggests chasing or recovering pressure after being bypassed.
force_backward_count,pressure_disruption,Count of engagements that force the opponent backward.,Count on_ball_engagement events where force_backward is true.,Higher value suggests pressure that redirects opponent possession away from goal.
stop_possession_danger_count,pressure_disruption,Count of engagements that stop possession danger.,Count on_ball_engagement events where stop_possession_danger is true.,Higher value suggests defensive actions that cut off dangerous possession situations.
reduce_possession_danger_count,pressure_disruption,Count of engagements that reduce possession danger.,Count on_ball_engagement events where reduce_possession_danger is true.,Higher value suggests pressure that weakens opponent attacking threat.
set_play_possession_count,set_piece_open_play,Count of player possessions during set-play phases.,Count player_possession events where phase type is set_play.,Higher value suggests more attacking activity from dead-ball situations.
set_play_shot_count,set_piece_open_play,Count of set-play possessions leading to shots.,Count set_play player_possession events where lead_to_shot is true.,Higher value suggests set-piece shot creation.
set_play_goal_count,set_piece_open_play,Count of set-play possessions leading to goals.,Count set_play player_possession events where lead_to_goal is true.,Higher value suggests set-piece goal impact.
set_play_penalty_area_end_count,set_piece_open_play,Count of set-play possessions ending in the penalty area.,Count set_play player_possession events where penalty_area_end is true.,Higher value suggests dead-ball occupation of dangerous box areas.
open_play_shot_count,set_piece_open_play,Count of non-set-play possessions leading to shots.,Count non-set_play player_possession events where lead_to_shot is true.,Higher value suggests open-play shot creation.
wide_passing_option_count,spatial_combination,Count of passing options starting in wide channels.,Count passing_option events where channel_start is wide_left or wide_right.,Higher value suggests wing occupation and flank support.
central_passing_option_count,spatial_combination,Count of passing options starting centrally or in half-spaces.,Count passing_option events where channel_start is center or half-space.,Higher value suggests central support and half-space occupation.
support_run_count,spatial_combination,Count of support off-ball runs.,Count off_ball_run events where event_subtype is support.,Higher value suggests nearby support movement for ball circulation.
overlap_underlap_run_count,spatial_combination,Count of overlap and underlap runs.,Count off_ball_run events where event_subtype is overlap or underlap.,Higher value suggests combination play around wide/half-space lanes.
cross_receiver_run_count,spatial_combination,Count of cross-receiver runs.,Count off_ball_run events where event_subtype is cross_receiver.,Higher value suggests attacking movement into crossing targets.
passes_before_loss_total,passing_sequences_before_loss,Total pass-ending player possessions inside phases that end with ball loss.,"For each phase that contains a possession loss, count pass-ending player possessions and sum across the match-team.",Higher value means the team had more passing actions in sequences that eventually ended with a loss.
loss_after_6_plus_pass_count,passing_sequences_before_loss,Count of lost phases that contained six or more pass-ending possessions.,Count possession-loss phases with at least six pass-ending player possessions.,Higher value suggests longer passing sequences before eventual loss.
